2020-11-29 21:44:29+00:00; alexandregarcia.br; Lua de domingo, no Planalto Central.; 19934; 324; ; ; https://www.instagram.com/p/CIMLGRuDcMp/
2020-11-19 15:34:16+00:00; alexandregarcia.br; Hoje é o aniversário dela. Símbolo de todos nós brasileiros. Ela completa 131 anos. E recomenda ordem e progresso.; 64435; 2050; ; ; https://www.instagram.com/p/CHxwx7DjWd9/
2020-11-05 13:27:11+00:00; alexandregarcia.br; Alguém identifica essa linde recém aparecida?; 15718; 327; ; ; https://www.instagram.com/p/CHNfG7rDOgy/
2020-11-03 21:42:38+00:00; alexandregarcia.br; Ela é a armadeira. Hóspede ilustre.; 27270; 2394; ; ; https://www.instagram.com/p/CHJON7tjfer/
2020-11-02 11:45:27+00:00; alexandregarcia.br; A brilhante lua do primeiro dia de novembro.; 27659; 416; ; ; https://www.instagram.com/p/CHFlFLujav1/
2020-10-31 20:59:56+00:00; alexandregarcia.br; None; 45424; 534; ; ; https://www.instagram.com/p/CHBa8mhDLiT/
2020-10-26 00:31:19+00:00; alexandregarcia.br; A garça que foi visitar os Garcia no almoço deste domingo no Clube Naval.; 31188; 520; ; ; https://www.instagram.com/p/CGyWXinjGrY/
2020-10-22 20:31:56+00:00; alexandregarcia.br; A buganvília nevou na primavera.; 42261; 1076; ; ; https://www.instagram.com/p/CGqMlmGjgs_/
2020-10-12 15:25:02+00:00; alexandregarcia.br; Este é o Davi, filho da Júlia e meu terceiro neto, que nasceu neste Dia das Crianças.; 143998; 12304; ; ; https://www.instagram.com/p/CGP5hHfD5FO/
2020-10-10 19:55:41+00:00; alexandregarcia.br; Na lentidão da água quase morna, os peixes também estão à espera da bendita chuva no Planalto Central.; 18408; 157; ; ; https://www.instagram.com/p/CGLO5pKDwET/
2020-10-08 22:59:07+00:00; alexandregarcia.br; Espero você. Abraço; 14259; 309; ; ; https://www.instagram.com/p/CGGaTZWjnX1/
