[2019-12-27 23:41:14+00:00; pirescarol; Grace and Frankie ♥️ https://t.co/q8LbiabBGT; https://twitter.com/pirescarol/status/1210707240799391744; None; https://twitter.com/geeknfeminist/status/1210633087073341441]
[2019-12-20 15:51:28+00:00; pirescarol; @suzasuza @paula8scarpin; https://twitter.com/pirescarol/status/1208052305511297036; None; None]
[2019-12-20 15:51:18+00:00; pirescarol; @suzasuza Você me representa; https://twitter.com/pirescarol/status/1208052261718560769; None; None]
[2019-12-20 15:51:06+00:00; pirescarol; @suzasuza 100% de acordo; https://twitter.com/pirescarol/status/1208052211072356352; None; None]
[2019-12-19 20:26:09+00:00; pirescarol; U.N. Peacekeepers in Haiti Said to Have Fathered Hundreds of Children https://t.co/ITnPQmtYuD; https://twitter.com/pirescarol/status/1207759041608454145; None; None]
[2019-12-18 14:57:14+00:00; pirescarol; Colombia: Bogotá’s first female mayor marries same-sex partner https://t.co/wkQmzdIgK8; https://twitter.com/pirescarol/status/1207313879002423296; None; None]
[2019-12-17 12:27:38+00:00; pirescarol; Inspirada na obra “The Americans”, do fotógrafo suíço Robert Frank, a @marinaadias rodou o Rust Belt americano para entender a eleição americana  - Por que Trump pode ser reeleito? - e conta tudo nesse especial, que achei fino: https://t.co/y8WTwe0iXj; https://twitter.com/pirescarol/status/1206913845316464640; None; None]
[2019-12-17 00:29:09+00:00; pirescarol; @caroevangelista ♥️; https://twitter.com/pirescarol/status/1206733034000699398; None; None]
[2019-12-17 00:29:05+00:00; pirescarol; @anaclaracosta 🙏🏽; https://twitter.com/pirescarol/status/1206733013188567042; None; None]
[2019-12-16 23:09:17+00:00; pirescarol; Preciso contar que o Democracia em Vertigem está entre os 15 documentários pré-indicados para o Oscar de 2020!!! Acabou de sair!👇🏽E eu estou feliz demais em fazer parte dessa equipe 💛🌟 Voa, roteirinho ⚡️ https://t.co/p2umWnRDjw; https://twitter.com/pirescarol/status/1206712931225878528; None; None]
[2019-12-15 19:24:50+00:00; pirescarol; @marinaadias 🤣; https://twitter.com/pirescarol/status/1206294061319147522; None; None]
[2019-12-15 11:30:00+00:00; pirescarol; @tcolodetetania @mauriciostycer obrigada!; https://twitter.com/pirescarol/status/1206174564369289216; None; None]
[2019-12-14 20:53:09+00:00; pirescarol; @terraquel ♥️; https://twitter.com/pirescarol/status/1205953896428064780; None; None]
[2019-12-14 13:00:44+00:00; pirescarol; @fercanofre Obrigada por compartilhar, querida! ♥️; https://twitter.com/pirescarol/status/1205835011087327233; None; None]
[2019-12-14 12:59:32+00:00; pirescarol; @rafaelhenri ♥️; https://twitter.com/pirescarol/status/1205834708850008064; None; None]
[2019-12-14 01:18:35+00:00; pirescarol; @marinaadias Te amo. E sua mãe também. ♥️; https://twitter.com/pirescarol/status/1205658309052776448; None; None]
[2019-12-14 00:39:39+00:00; pirescarol; @fercanofre Ela é, @fercanofre ♥️; https://twitter.com/pirescarol/status/1205648511372582917; None; None]
[2019-12-13 17:21:12+00:00; pirescarol; Em uma das minhas primeiras lembranças, estou com minha mãe na escola pública. Ela comandava uma classe com 12 alunos, todos com alguma deficiência. Ela alfabetizou todos, mas perdeu contato com muitos. Já a Kelly nunca saiu das nossas vidas.  https://t.co/nRtQROMo9b; https://twitter.com/pirescarol/status/1205538170349203461; None; None]
[2019-12-11 22:49:15+00:00; pirescarol; O @JimenezEnoa conta no @nytimes sobre seu trabalho como jornalista em Cuba (e as tantas tentativas de impedi-lo) https://t.co/sSaH8RwXdc; https://twitter.com/pirescarol/status/1204895951275659264; None; None]
[2019-12-10 16:33:48+00:00; pirescarol; Agência Nacional do Cinema boicota o filme que é o representante nacional na corrida ao Oscar, o maior prêmio de cinema do mundo. (E o governo ainda diz que tem quem torça contra o Brasil) https://t.co/pHXMLEmeFh; https://twitter.com/pirescarol/status/1204439076973228032; None; https://twitter.com/gduvivier/status/1204417257171931137]
[2019-12-10 16:24:37+00:00; pirescarol; Para quem quer conhecer a história dele, uma das pessoas mais legais e brilhantes que já conheci no mundo: https://t.co/C6Az6H1sl5; https://twitter.com/pirescarol/status/1204436766301839360; None; None]
[2019-12-10 16:21:50+00:00; pirescarol; @JimenezEnoa Estamos contigo!; https://twitter.com/pirescarol/status/1204436067044253696; None; None]
[2019-12-10 16:21:34+00:00; pirescarol; 👇🏽 O Abraham está outra vez sendo impedido de sair de casa por causa do seu trabalho como jornalista independente em Cuba 👇🏽 https://t.co/ZWYNshHsop; https://twitter.com/pirescarol/status/1204435998807121921; None; https://twitter.com/JimenezEnoa/status/1204408071222513665]
[2019-12-06 20:14:36+00:00; pirescarol; @NatuzaNery Gênias; https://twitter.com/pirescarol/status/1203045093952892929; None; None]
[2019-12-05 18:36:06+00:00; pirescarol; @Nattydreadlocks Te amo ❤️; https://twitter.com/pirescarol/status/1202657916584677376; None; None]
[2019-12-04 20:03:13+00:00; pirescarol; @Skoknic @nytimes @petracostal Gracias!; https://twitter.com/pirescarol/status/1202317454447386627; None; None]
[2019-12-04 20:03:04+00:00; pirescarol; @terra30 🙏🏽🙏🏽🙏🏽 obrigada, querido!; https://twitter.com/pirescarol/status/1202317416941916161; None; None]
[2019-12-04 17:56:14+00:00; pirescarol; https://t.co/vEgqcUW7Zt; https://twitter.com/pirescarol/status/1202285498489806848; None; None]
[2019-12-04 17:54:57+00:00; pirescarol; Nosso Democracia em Vertigem foi escolhido pelo ⁦@nytimes⁩ como um dos 10 melhores filmes do ano (entre ficções e documentários do mundo todo)!!! Orgulho enorme do meu roteirinho, da diretora ⁦@petracostal⁩ e dessa equipe-amor-eterno. 🙏🏽⚡️ https://t.co/AW8SR1sYnQ; https://twitter.com/pirescarol/status/1202285173657784325; None; None]
[2019-12-02 19:25:57+00:00; pirescarol; @NaoInviabilize @letrapreta Gabo e carnaval; https://twitter.com/pirescarol/status/1201583300126617607; None; None]
[2019-11-30 13:42:05+00:00; pirescarol; @gduvivier 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️; https://twitter.com/pirescarol/status/1200771984751284224; None; None]
[2019-11-29 19:21:42+00:00; pirescarol; @baliborio @RevistaEpoca Parabéns, querida! Sucesso!; https://twitter.com/pirescarol/status/1200495066776817670; None; None]
[2019-11-26 13:39:41+00:00; pirescarol; @yasminsmp @rodaviva @tvcultura 👏🏽👏🏽👏🏽; https://twitter.com/pirescarol/status/1199321829468446720; None; None]
[2019-11-25 22:51:47+00:00; pirescarol; Flip anuncia Elizabeth Bishop como autora homenageada da @flip_se 2020. Primeira vez que a festa homenageia um autor estrangeiro. https://t.co/jSQiYMW7Eg; https://twitter.com/pirescarol/status/1199098385778839552; None; None]
[2019-11-20 00:45:25+00:00; pirescarol; @camposmello @CPJ Arrasany; https://twitter.com/pirescarol/status/1196952654074851328; None; None]
[2019-11-19 16:26:36+00:00; pirescarol; jornalistas que envergonham jornalistas https://t.co/orx4cZXgCp; https://twitter.com/pirescarol/status/1196827122414817280; None; https://twitter.com/malugaspar/status/1196818218607939584]
[2019-11-19 13:05:52+00:00; pirescarol; Segundo a investigação, o cabo confundiu uma esquadria de janela, que o homem sentado na garupa da moto segurava, com uma arma. Teria tentado dar um tiro de advertência, mas atirou na direção das pessoas. Acertou a Ágatha. https://t.co/A82rI4HnpR; https://twitter.com/pirescarol/status/1196776606339080192; None; None]
[2019-11-17 13:22:11+00:00; pirescarol; @AnaTeresaToro Love you; https://twitter.com/pirescarol/status/1196055937699762177; None; None]
[2019-11-17 12:29:04+00:00; pirescarol; [A Bíblia e a Pachamama] Em um tuíte de 2013, a presidente interina da Bolívia, Jeanini Añez, chama a celebração de ano novo dos Aymara de “satânica ”. Em outro, questiona a genuinidade de outro grupo indígena porque “eles usam sapatos”. Coluna 👉🏽 https://t.co/yMVp7zRgTe; https://twitter.com/pirescarol/status/1196042570113191936; None; None]
[2019-11-15 23:03:13+00:00; pirescarol; @JimenezEnoa 👏🏽👏🏽; https://twitter.com/pirescarol/status/1195477383530401792; None; None]
[2019-11-14 15:36:54+00:00; pirescarol; @EstefanioMelo 😊; https://twitter.com/pirescarol/status/1195002673948438529; None; None]
[2019-11-13 11:14:28+00:00; pirescarol; &lt; O partido parece se inspirar na Arena, que serviu de sustentação para o regime militar. Seu manifesto de 1975 mencionava a união dos brasileiros e uma aliança com o povo, mas não apelava tanto aos valores cristãos quanto Eduardo Bolsonaro. &gt; https://t.co/rNfkjlg79m; https://twitter.com/pirescarol/status/1194574244161740802; None; None]
[2019-11-12 13:54:34+00:00; pirescarol; Seria saudável que o destino da oposição não estivesse atrelado ao destino de um único homem. Mas o capítulo que se iniciou com a soltura de Lula, na sexta, não prenuncia um enredo diferente. (Meu op-ed no @nytimes, agora em inglês)  https://t.co/NTepFgWcA9; https://twitter.com/pirescarol/status/1194252146922967042; None; None]
[2019-11-12 09:36:54+00:00; pirescarol; 7 opiniões (nenhuma igual) https://t.co/sKKsJl23Ua; https://twitter.com/pirescarol/status/1194187301666066433; None; None]
[2019-11-12 00:08:31+00:00; pirescarol; Ontem, antes de dormir, depois de muito procurar informação, comentei aqui em casa: "tomara que a @sylviacolombo esteja voando pra lá a essa hora". Lá está ela: https://t.co/fTU3tgUe0q; https://twitter.com/pirescarol/status/1194044265455861760; None; https://twitter.com/sylviacolombo/status/1194009872905453568]
[2019-11-11 21:02:09+00:00; pirescarol; Presidente mexicano López Obrador ofereceu asilo político ao Evo Morales 👇🏽👇🏽 https://t.co/3coKUTw9vK; https://twitter.com/pirescarol/status/1193997363117010944; None; https://twitter.com/Gbastidas/status/1193997073273774081]
[2019-11-11 17:39:43+00:00; pirescarol; Seria saudável que o destino da oposição não estivesse atrelado ao destino de um único homem. Mas o capítulo que se iniciou com a soltura de Lula, na sexta, não prenuncia um enredo diferente. (Meu op-ed no @nytimes) https://t.co/Hu9rRGMjYj; https://twitter.com/pirescarol/status/1193946418995716096; None; None]
[2019-11-11 14:42:07+00:00; pirescarol; O "macho" Camacho, líder da direita porrete&amp;bíblia na Bolívia, anunciou que vai apresentar denúncias para colocar Evo, seu vice e os ministros na cadeia. Segundo ele,  "no es venganza, sino justicia divina". https://t.co/vT5X9Wrchz; https://twitter.com/pirescarol/status/1193901724274176001; None; None]
